,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.variation_id,data.used_image_url,data.cheapest_product,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.discount_tag
364,"['air', 'force', '1']",Air Force 1 '07 LV8 'Nike 101',False,1039966,DX2344 100,air-force-1-07-lv8-nike-101-dx2344-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/454/711/original/1039966_00.png.png,sneakers,20220907.0,2022.0,13000.0,073725b4-5781-4462-8879-687c9c8915f5,,,new_no_defects,12400,16700,55200,18800,10100,98500,86200,17000,381300,11500,1656800,16502200,0,13400.0,20400.0,11000.0,1790400.0,17833000.0,12400.0,18400.0,18100.0,412000.0,59700.0,93100.0,106400.0,10900.0,1740300.0,103200.0,57400.0,16721100.0,89700.0,17500.0,17600.0,12300.0,18900.0,397400.0,under_retail
365,"['air', 'force', '1']",Air Force 1 Low GS 'NOLA',False,1028104,DZ5292 100,air-force-1-low-gs-nola-dz5292-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/611/709/original/1028104_00.png.png,sneakers,20221102.0,2022.0,10000.0,5baf1abc-e811-48d3-bf1d-02183a7648ab,,,new_no_defects,11700,15800,52100,17800,9600,92900,81300,16100,359700,10800,1563300,15571800,0,14800.0,22500.0,12100.0,1977500.0,19697700.0,13700.0,20300.0,19900.0,455000.0,65900.0,102900.0,117500.0,8400.0,1338700.0,79400.0,44200.0,12862400.0,69000.0,13500.0,13500.0,9500.0,14600.0,305700.0,
366,"['air', 'force', '1']",Air Force 1 '07 'White Outline',False,411284,488298 160,air-force-1-07-white-outline-488298-160,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/013/404/941/original/488298_160.png.png,sneakers,,,9000.0,df488d99-7581-4b9a-b5a8-b8b83d77c9de,https://image.goat.com/attachments/product_outer_pictures/images/078/921/960/square/temp1664580149.jpeg?1664580149,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/078/921/960/square/temp1664580149.jpeg?1664580149""}",used,6000,8100,26800,9100,4900,47700,41700,8300,184500,5600,801700,7985600,1,,,,,,,,,,,,,7600.0,1223300.0,71500.0,41200.0,12016500.0,62900.0,12300.0,12600.0,8600.0,13800.0,280700.0,
367,"['air', 'force', '1']",Air Force 1 Low Premium GS 'H-Town',False,1076667,DZ5296 001,air-force-1-low-premium-gs-h-town-dz5296-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/085/024/464/original/1076667_00.png.png,sneakers,20221112.0,2022.0,10000.0,61ab6acd-7e5f-4c41-84a1-ca73620dba21,,,new_no_defects,7900,10700,35200,12000,6500,62700,54900,10900,242900,7300,1055600,10513500,0,,,,,,,,,,,,,8400.0,1355900.0,79400.0,44900.0,13101000.0,69500.0,13600.0,13700.0,9500.0,14700.0,307300.0,under_retail
368,"['air', 'force', '1']",Wmns Air Force 1 '07 ESS 'Cross Stitch - White Fossil',False,947451,DJ9945 100,wmns-air-force-1-low-cross-stitch-white-fossil-dj9945-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/076/460/797/original/947451_00.png.png,sneakers,,,0.0,571ff3d3-a9c3-42e9-b011-8915eba42a22,,,new_no_defects,7700,10400,34300,11700,6300,61200,53500,10600,236800,7100,1028800,10248100,0,,,,,,,,,,,,,,,,,,,,,,,,
369,"['air', 'force', '1']",Air Force 1 Mid '07 'Black White',False,1084848,DV0806 001,air-force-1-mid-black-white-dv0806-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/786/272/original/DV0806_001.png.png,sneakers,20230126.0,2023.0,12000.0,99fd2451-ad3b-46e1-919b-f372612f0a4b,,,new_no_defects,9300,12600,41400,14100,7600,73900,64600,12800,286000,8600,1242600,12376700,0,10200.0,15500.0,8400.0,1362900.0,13574400.0,9400.0,14000.0,13800.0,313600.0,45500.0,70900.0,81000.0,10000.0,1606400.0,95300.0,53000.0,15434900.0,82800.0,16200.0,16200.0,11400.0,17500.0,366800.0,under_retail
370,"['air', 'force', '1']",Wmns Air Force 1 '07 LX 'Year of the Tiger',False,908076,DR0148 171,wmns-air-force-1-07-lx-year-of-the-tiger-dr0148-171,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/980/591/original/908076_00.png.png,sneakers,20220329.0,2022.0,0.0,774f73b0-5734-4d23-9a4d-6c044062d671,,,new_no_defects,6000,8100,26800,9100,4900,47700,41700,8300,184500,5600,801700,7985600,0,,,,,,,,,,,,,,,,,,,,,,,,
371,"['air', 'force', '1']",Air Force 1 '07 LX 'Toasty',False,839928,DC8744 300,air-force-1-07-lx-toasty-dc8744-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/063/737/855/original/839928_00.png.png,sneakers,20211110.0,2021.0,12000.0,2d066085-f3fc-432a-9b2b-1c4b4d080792,,,new_no_defects,6300,8500,28100,9600,5200,50000,43800,8700,193700,5800,841800,8384900,0,14600.0,22200.0,11900.0,1950700.0,19431500.0,13500.0,20100.0,19700.0,448900.0,65000.0,101500.0,115900.0,10000.0,1606400.0,95300.0,53000.0,15434900.0,82800.0,16200.0,16200.0,11400.0,17500.0,366800.0,under_retail
372,"['air', 'force', '1']",Air Force 1 GS 'Lakers Alternate',False,1075628,DX5805 500,air-force-1-gs-lakers-alternate-dx5805-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/155/033/original/1075628_00.png.png,sneakers,20221026.0,2022.0,9000.0,a32f065d-9ef1-44c9-986a-c22cc12fe84d,,,new_no_defects,7500,10200,33400,11400,6200,59600,52100,10300,230600,6900,1002100,9981200,0,11200.0,17000.0,9200.0,1496500.0,14905200.0,10300.0,15400.0,15100.0,344400.0,49900.0,77800.0,88900.0,7500.0,1204800.0,71500.0,39700.0,11576200.0,62100.0,12100.0,12200.0,8500.0,13100.0,275100.0,under_retail
373,"['air', 'force', '1']",Air Force 1 High 'Wolf Grey Metallic Silver',False,1072111,DZ5428 001,air-force-1-high-wolf-grey-metallic-silver-dz5428-001,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/197/211/original/1072111_00.png.png,sneakers,20221103.0,2022.0,16500.0,6f6f1a50-d476-4230-9816-da76d2f001f6,,,new_no_defects,7500,10100,33400,11400,6200,59600,52100,10300,230600,6900,1002100,9982000,0,10500.0,16000.0,8600.0,1402900.0,13974700.0,9700.0,14400.0,14200.0,322800.0,46800.0,73000.0,83400.0,13900.0,2252000.0,131000.0,75400.0,22030100.0,115300.0,22600.0,23200.0,15700.0,25400.0,514600.0,under_retail
