,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_cny,data.retail_price_cents_krw,data.retail_price_cents_cad,data.retail_price_cents_myr,data.retail_price_cents_eur,data.retail_price_cents_twd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_aud,data.retail_price_cents_sgd,data.retail_price_cents_hkd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.lowest_price_cents_twd,data.lowest_price_cents_cad,data.lowest_price_cents_gbp,data.lowest_price_cents_eur,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_sgd,data.lowest_price_cents_cny,data.lowest_price_cents_hkd,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_hkd,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_aud,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
238,"['jordan', '4']",Air Jordan 4 Retro LS 'Thunder',False,14035,314254 071,air-jordan-4-retro-ls-thunder-314254-071,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/018/319/original/314254_071.png.png,sneakers,,,0.0,,,,,,,,,,,,dc630699-3356-425d-8458-2490f35484e8,new_with_defects,59500.0,7949800.0,79189800.0,1829200.0,81600.0,48500.0,54800.0,264900.0,90200.0,80000.0,413400.0,472200.0,0.0,,,,,,,,,,,,,,,,
239,"['jordan', '4']",Air Jordan 4 Retro GS 'Orange Metallic',False,616026,408452 118,air-jordan-4-retro-gs-metallic-pack-total-orange-408452-118,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/743/109/original/616026_00.png.png,sneakers,,,14000.0,96600.0,18007300.0,18900.0,61800.0,13200.0,427900.0,11700.0,1874200.0,20400.0,18900.0,111200.0,f01e73ff-5056-4e93-b12b-d5e322af0f2c,new_no_defects,55500.0,7415300.0,73866200.0,1706300.0,76100.0,45200.0,51100.0,247100.0,84100.0,74700.0,385600.0,440500.0,0.0,,,,,,,,,,,,,,,,
240,"['jordan', '4']",Air Jordan 4 Retro GS 'Pink Foil',False,13749,487724 607,girls-2-4-retro-gs-487724-607,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/926/337/original/13749_00.png.png,sneakers,,,0.0,,,,,,,,,,,,63a0229f-46c4-47eb-9997-415fd765f70d,new_no_defects,18500.0,2471800.0,24622100.0,568800.0,25400.0,15100.0,17100.0,82400.0,28100.0,24900.0,128600.0,146900.0,0.0,,,,,,,,,,,,,,,,
241,"['jordan', '4']",Air Jordan 11LAB4 'Red Patent Leather',False,14545,719864 600,air-jordan-11lab4-red-719864-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/715/301/original/14545_00.png.png,sneakers,20150711.0,2015.0,25000.0,172500.0,32155900.0,33800.0,110300.0,23600.0,764100.0,20900.0,3346700.0,36300.0,33600.0,198500.0,1620e796-81ef-4bfe-9d89-afd9556ce431,new_no_defects,42900.0,5724600.0,57132100.0,1318900.0,58600.0,35000.0,39800.0,191000.0,65100.0,57800.0,298200.0,340500.0,0.0,48500.0,65300.0,45000.0,215900.0,6471900.0,337100.0,39500.0,1491000.0,385000.0,64589900.0,66300.0,73600.0,,,,
242,"['jordan', '4']",Air Jordan 4 Retro PS 2012,False,16962,308499 110,air-jordan-4-retro-ps-2012-release-308499-110,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/084/310/original/308499_110.png.png,sneakers,,,0.0,,,,,,,,,,,,9d637859-520a-4b76-89a6-371db6fdbdf8,new_no_defects,24500.0,3273500.0,32607600.0,753200.0,33600.0,20000.0,22600.0,109100.0,37200.0,33000.0,170200.0,194500.0,1.0,,,,,,,,,,,,,,,,
243,"['jordan', '4']",Eastside Golf x Jordan ADG 4 NRG 'Out the Mud',False,1075865,DZ4525 001,eastside-golf-x-jordan-adg-4-dz4525-001,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/369/021/original/1075865_00.png.png,sneakers,20221112.0,2022.0,20500.0,141500.0,26367900.0,27700.0,90500.0,19400.0,626600.0,17100.0,2744300.0,29800.0,27600.0,162700.0,792620c2-e649-40d7-a118-519752021564,new_no_defects,21700.0,2899400.0,28881000.0,667200.0,29800.0,17700.0,20000.0,96600.0,32900.0,29200.0,150800.0,172300.0,0.0,,,,,,,,,,,,,,,,
244,"['jordan', '4']",Air Jordan 4 Retro+ 'Bling' 2000,False,14959,136030 111,air-jordan-iv-retro-bling-2000-136030-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/021/447/original/136030_111.png.png,sneakers,,,0.0,,,,,,,,,,,,99265413-83f7-4477-aeef-bb8d8ead71b3,new_with_defects,44000.0,5878800.0,58560600.0,1352700.0,60400.0,35900.0,40500.0,195900.0,66700.0,59200.0,305700.0,349200.0,0.0,,,,,,,,,,,,,,,,
245,"['jordan', '4']",Air Jordan 4 Premium 'Wheat',False,72514,819139 205,air-jordan-4-premium-wheat-819139-205,brown,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/080/869/original/72514_00.png.png,sneakers,20161029.0,2016.0,40000.0,276000.0,51449400.0,54000.0,176500.0,37800.0,1222600.0,33400.0,5354700.0,58100.0,53800.0,317500.0,a553a4d0-9c76-4e71-800f-fd0f70ec5db2,new_no_defects,47000.0,6279700.0,62553300.0,1445000.0,64500.0,38300.0,43300.0,209300.0,71300.0,63200.0,326500.0,373000.0,0.0,,,,,,,,,,,,,,,,
246,"['jordan', '4']",Jordan ADG 4 'White Black',False,1131488,DM0103 110,jordan-adg-4-white-black-dm0103-110,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/425/900/original/DM0103_110.png.png,sneakers,20230131.0,2023.0,18500.0,128500.0,24237900.0,25300.0,82900.0,17500.0,568400.0,15600.0,2508300.0,27200.0,25100.0,146800.0,53e69c58-fa4e-4f3d-a6f2-f7dbeef2e403,new_no_defects,15900.0,2124400.0,21161700.0,488900.0,21800.0,13000.0,14700.0,70800.0,24100.0,21400.0,110500.0,126200.0,0.0,,,,,,,,,,,,,under_retail,,,
247,"['jordan', '4']",Air Jordan 4 Retro 'Georgetown' PE,False,586216,AJ4 1043505,air-jordan-4-retro-georgetown-pe-aj4-1043505,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/031/523/351/original/AJ4_1043505.png.png,sneakers,,,0.0,,,,,,,,,,,,f761fb8b-13e4-4b81-8869-c091ce5fe679,new_no_defects,587500.0,78495100.0,781916000.0,18061300.0,805400.0,478200.0,540300.0,2615300.0,890300.0,789900.0,4081000.0,4662500.0,0.0,,,,,,,,,,,,,,,,
248,"['jordan', '4']",Air Jordan 4 Retro LS 'Tour Yellow',False,14037,314254 171,air-jordan-4-retro-ls-314254-171,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/210/495/original/14037_00.png.png,sneakers,20060520.0,2006.0,12500.0,86300.0,16078000.0,16900.0,55200.0,11800.0,382100.0,10500.0,1673400.0,18200.0,16800.0,99300.0,0ab6477d-dd04-42f7-ab96-a3e94b817ff6,new_no_defects,78900.0,10541800.0,105009700.0,2425600.0,108200.0,64300.0,72600.0,351300.0,119600.0,106100.0,548100.0,626200.0,0.0,,,,,,,,,,,,,,,,
249,"['jordan', '4']",Air Jordan 4 Retro GS '25th Anniversary',False,16813,408452 101,air-jordan-4-retro-gs-25th-anniversary-408452-101,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/858/original/408452_101.png.png,sneakers,,,0.0,,,,,,,,,,,,304a44af-ca0c-4c51-8e0d-85453666df3e,new_no_defects,70000.0,9340900.0,93222500.0,2152000.0,95600.0,57000.0,64900.0,311600.0,106100.0,94200.0,486500.0,555600.0,0.0,,,,,,,,,,,,,,,,
250,"['jordan', '4']",Jordan Max Aura 4 'Black Gym Red',False,1122902,DN3687 061,jordan-max-aura-4-black-gym-red-dn3687-061,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/804/507/original/DN3687_061.png.png,sneakers,20230117.0,2023.0,12500.0,86300.0,16078000.0,16900.0,55200.0,11800.0,382100.0,10500.0,1673400.0,18200.0,16800.0,99300.0,13540526-9f66-4001-b50c-5c27723de0b6,new_no_defects,11500.0,1536500.0,15305600.0,353600.0,15800.0,9400.0,10600.0,51200.0,17500.0,15500.0,79900.0,91300.0,0.0,,,,,,,,,,,,,under_retail,,,
251,"['jordan', '4']",Jordan One Take 4 'White Copa Lime',False,1144698,DO7193 003,jordan-one-take-4-white-copa-lime-do7193-003,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/085/114/404/original/DO7193_003.png.png,sneakers,20230217.0,2023.0,10000.0,69700.0,13160900.0,13800.0,45000.0,9600.0,308700.0,8400.0,1363700.0,14900.0,13600.0,79400.0,07a9ad3c-30e7-4bd8-a585-99839c2979ea,new_no_defects,19900.0,2658900.0,26485400.0,611800.0,27300.0,16200.0,18300.0,88600.0,30200.0,26800.0,138300.0,158000.0,0.0,,,,,,,,,,,,,,,,
252,"['jordan', '4']",Air Jordan 4 Retro GS 'Mars Blackmon',False,16475,308498 162,air-jordan-4-retro-gs-mars-blackmon-308498-162,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/175/585/original/308498_162.png.png,sneakers,,,0.0,,,,,,,,,,,,a6b8715c-ce9a-4137-88aa-821b2497eb00,new_with_defects,50000.0,6672100.0,66587500.0,1537200.0,68300.0,40700.0,46400.0,222600.0,75800.0,67300.0,347500.0,396900.0,0.0,,,,,,,,,,,,,,,,
253,"['jordan', '4']",Air Jordan 4 Retro SE GT 'Rush Violet',False,562071,BQ9041 005,air-jordan-4-retro-se-gt-rush-violet-bq9041-005,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/316/725/original/562071_00.png.png,sneakers,,,0.0,,,,,,,,,,,,2345b7db-6a54-4aec-a087-8fc2bff28434,new_no_defects,7400.0,988800.0,9848900.0,227500.0,10200.0,6100.0,6900.0,33000.0,11300.0,10000.0,51500.0,58800.0,0.0,8000.0,10800.0,7400.0,35700.0,1068900.0,55600.0,6600.0,246000.0,63500.0,10647400.0,11000.0,12200.0,,,,
254,"['jordan', '4']",Air Jordan 4 Retro TD 'Motorsports',False,180219,308500 117,air-jordan-4-retro-td-motorsports-308500-117,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/075/829/725/original/180219_00.png.png,sneakers,20170325.0,2017.0,6000.0,41400.0,7717500.0,8100.0,26500.0,5700.0,183400.0,5000.0,803200.0,8800.0,8100.0,47700.0,3c09c836-5fe6-4390-8237-7a51e68647c7,new_no_defects,14200.0,1897300.0,18899100.0,436600.0,19500.0,11600.0,13100.0,63300.0,21600.0,19100.0,98700.0,112700.0,0.0,15300.0,20600.0,14100.0,68200.0,2044300.0,106300.0,12500.0,470400.0,121500.0,20363100.0,21000.0,23200.0,,,,
