,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
147,"['jordan', '1']",Off-White x Air Jordan 1 Retro High OG 'Chicago',False,136666,AA3834 101,off-white-x-air-jordan-1-retro-high-og-aa3834-101,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/077/929/921/original/136666_00.png.png,sneakers,20170906.0,2017.0,19000.0,15900.0,2543500.0,150800.0,83800.0,24438500.0,131100.0,25600.0,25700.0,18000.0,27600.0,580700.0,9efd15e7-652e-4b57-9e8c-e8d1aa86b10a,new_no_defects,531500,714600,2366000,805400,432700,4218100,3692000,728700,16339700,488800,71013100,707384500,10,574000.0,869800.0,467300.0,76691400.0,763948600.0,527900.0,786900.0,771800.0,17646300.0,2555200.0,3987200.0,4555400.0,,,,
148,"['jordan', '1']",Union LA x Air Jordan 1 KO Low 'White Neutral Grey',False,1107659,DO8912 101,union-la-x-air-jordan-1-ko-low-white-neutral-grey-do8912-101,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/119/477/original/1107659_00.png.png,sneakers,20230202.0,2023.0,15000.0,12600.0,2024300.0,119100.0,68400.0,19702400.0,104700.0,20500.0,20900.0,14300.0,22800.0,463600.0,17f002c9-3fed-4aa8-bc3b-87a82770fd54,new_no_defects,12000,16200,53500,18200,9800,95300,83400,16500,369000,11100,1603400,15971100,0,16500.0,25100.0,13500.0,2204600.0,21960200.0,15200.0,22700.0,22200.0,507300.0,73500.0,114700.0,131000.0,under_retail,,,
149,"['jordan', '1']",Air Jordan 1 Mid GS 'Light Smoke Grey',False,631719,554725 092,air-jordan-1-mid-gs-light-smoke-grey-554725-092,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/901/273/original/631719_00.png.png,sneakers,20200110.0,2020.0,9000.0,7500.0,1204800.0,71500.0,39700.0,11576200.0,62100.0,12100.0,12200.0,8500.0,13100.0,275100.0,81b711c1-e858-4873-af2f-5eac44e0ebd4,new_no_defects,25500,34300,113600,38700,20800,202400,177200,35000,784000,23500,3407100,33938500,28,32200.0,48800.0,26300.0,4302200.0,42855700.0,29700.0,44200.0,43300.0,990000.0,143400.0,223700.0,255600.0,,,,
150,"['jordan', '1']",Air Jordan 1 Mid 'Hyper Royal',False,719481,554724 077,air-jordan-1-mid-hyper-royal-554724-077,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/048/506/114/original/719481_00.png.png,sneakers,20210130.0,2021.0,12000.0,10000.0,1606400.0,95300.0,53000.0,15434900.0,82800.0,16200.0,16200.0,11400.0,17500.0,366800.0,c56ed1a8-962d-4838-84d6-99cc426f9c37,new_no_defects,14200,19200,63300,21600,11600,112700,98700,19500,436600,13100,1897300,18897700,101,22400.0,34000.0,18300.0,2992900.0,29810400.0,20600.0,30800.0,30200.0,688700.0,99800.0,155600.0,177800.0,,https://image.goat.com/attachments/product_outer_pictures/images/054/655/793/square/temp1621030600.jpeg?1621030600,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/655/793/square/temp1621030600.jpeg?1621030600""}",
151,"['jordan', '1']",Air Jordan 1 Utility High 'White Black',False,1038148,DO8727 100,air-jordan-1-utility-high-white-black-do8727-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/397/685/original/1038148_00.png.png,sneakers,20220829.0,2022.0,19000.0,15900.0,2543500.0,150800.0,83800.0,24438500.0,131100.0,25600.0,25700.0,18000.0,27600.0,580700.0,2b823308-72fb-4541-ab5c-433f4ed249b7,new_no_defects,10000,13500,44600,15200,8200,79400,69500,13800,307500,9200,1336100,13309300,0,11100.0,16900.0,9100.0,1483100.0,14773300.0,10300.0,15300.0,15000.0,341300.0,49500.0,77200.0,88100.0,under_retail,,,
152,"['jordan', '1']",Wmns Air Jordan 1 Mid 'Barely Rose',False,745144,BQ6472 500,wmns-air-jordan-1-mid-barely-rose-bq6472-500,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/052/111/820/original/745144_00.png.png,sneakers,20210511.0,2021.0,11000.0,9200.0,1472600.0,87300.0,48600.0,14148600.0,75900.0,14800.0,14900.0,10400.0,16000.0,336200.0,d573cbb0-707f-48b8-bae6-6113436e7d17,new_no_defects,11800,15900,52600,17900,9700,93700,82000,16200,362800,10900,1576600,15703700,101,13000.0,19800.0,10600.0,1737000.0,17300700.0,12000.0,17900.0,17600.0,399700.0,57900.0,90400.0,103200.0,,https://image.goat.com/attachments/product_outer_pictures/images/054/476/384/square/temp1620707031.jpeg?1620707031,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/476/384/square/temp1620707031.jpeg?1620707031""}",
153,"['jordan', '1']",The Shoe Surgeon x Air Jordan 1 'Shadow North Pole',False,568379,TSS AJ1 SHADOW NORTH POLE,the-shoe-surgeon-x-air-jordan-1-shadow-north-pole-tss-aj1-shadow-north-pole,silver,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/028/657/549/original/TSS_AJ1_SHADOW_NORTH_POLE.png.png,sneakers,,,0.0,,,,,,,,,,,,0f69469c-8c4e-48b3-88f3-4a244659452d,new_no_defects,370000,497500,1647100,560700,301200,2936400,2570200,507300,11374800,340300,49435300,492440800,0,,,,,,,,,,,,,,,,
154,"['jordan', 'i']",SoleFly x Air Jordan 13 Retro 'I’d Rather Be Fishing',False,1083183,DX5763 100,solefly-x-air-jordan-13-retro-dx5763-100,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/932/678/original/1083183_00.png.png,sneakers,20221202.0,2022.0,20000.0,17000.0,2764600.0,158800.0,90500.0,26484400.0,139900.0,27300.0,27500.0,19100.0,30100.0,620500.0,b46a6458-8f34-40b8-9a21-233e4c679b55,new_no_defects,17000,22900,75700,25800,13900,135000,118100,23400,522700,15700,2271400,22623900,0,22600.0,34300.0,18400.0,3019600.0,30076500.0,20800.0,31000.0,30500.0,694800.0,100700.0,157000.0,179400.0,under_retail,,,
155,"['jordan', '1']",Travis Scott x Air Jordan 1 Low OG 'Reverse Mocha',False,854208,DM7866 162,travis-scott-x-air-jordan-1-low-og-reverse-mocha-dm7866-162,brown,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/075/326/086/original/854208_00.png.png,sneakers,20220721.0,2022.0,15000.0,12500.0,2008000.0,119100.0,66200.0,19293600.0,103500.0,20200.0,20300.0,14200.0,21800.0,458500.0,f7ec8008-7e53-4159-bfac-d5951d9e4bc5,new_no_defects,100000,134700,445200,151600,81400,793700,694700,137100,3074300,92000,13360900,133081800,0,150700.0,228500.0,122700.0,20134900.0,200554300.0,138600.0,206600.0,203000.0,4633000.0,670900.0,1046900.0,1196000.0,,,,
156,"['jordan', '1']",Air Jordan 1 Retro High OG GS 'Smoke Grey',False,656053,575441 126,air-jordan-1-retro-high-og-gs-light-smoke-grey-575441-126,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/157/713/original/656053_00.png.png,sneakers,20200711.0,2020.0,13000.0,10900.0,1740300.0,103200.0,57400.0,16721100.0,89700.0,17500.0,17600.0,12300.0,18900.0,397400.0,5affe032-85f8-4701-92c9-1327e5c1f51c,new_no_defects,11700,15800,52100,17800,9600,92900,81300,16100,359700,10800,1563300,15571800,82,13700.0,20800.0,11200.0,1830500.0,18233700.0,12600.0,18800.0,18500.0,421200.0,61000.0,95200.0,108800.0,under_retail,,,
157,"['jordan', '1']",Air Jordan 1 Retro High OG PS 'Dark Marina Blue',False,888298,AQ2664 404,air-jordan-1-retro-high-og-ps-dark-marina-blue-aq2664-404,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/068/136/353/original/888298_00.png,sneakers,20220216.0,2022.0,0.0,,,,,,,,,,,,c7461547-bae1-4782-a72d-133842ec64be,new_no_defects,6200,8400,27600,9400,5100,49300,43100,8500,190700,5800,828400,8251100,0,6700.0,10200.0,5500.0,895200.0,8916500.0,6200.0,9200.0,9100.0,206000.0,29900.0,46600.0,53200.0,,,,
158,"['jordan', '1']",Air Jordan 1 Mid SE 'French Blue',False,1024479,DN3706 401,air-jordan-1-mid-se-french-blue-dn3706-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/245/253/original/1024479_00.png.png,sneakers,20220920.0,2022.0,13500.0,11200.0,1794400.0,107200.0,60900.0,17694700.0,94000.0,18200.0,18800.0,12600.0,20400.0,412400.0,8f16dd34-5a7c-4e05-95f1-ec6027dbafd0,new_no_defects,13900,18700,61900,21100,11400,110400,96600,19100,427400,12800,1857200,18499800,0,,,,,,,,,,,,,,,,
159,"['jordan', '1']",Wmns Air Jordan 1 Mid 'Black Sail Gym Red',False,1098380,BQ6472 061,wmns-air-jordan-1-mid-black-sail-gym-red-bq6472-061,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/450/286/original/1098380_00.png.png,sneakers,,,12500.0,10400.0,1652400.0,99300.0,56000.0,16375900.0,86800.0,16900.0,17500.0,11800.0,19000.0,383400.0,f76419ca-677f-4925-b040-c8be177aaa13,new_no_defects,9500,12800,42300,14400,7800,75400,66000,13100,292100,8800,1269300,12643800,0,11000.0,16700.0,9000.0,1469700.0,14640200.0,10200.0,15100.0,14800.0,338200.0,49000.0,76500.0,87300.0,under_retail,,,
